index,origin,desc,pv
M011021,M011021,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Exposição a ruído (barulho intenso)","{1: 'Sim', 2: 'Não'}"
M011031,M011031,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Exposição longa ao sol","{1: 'Sim', 2: 'Não'}"
M011041,M011041,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Manuseio de material radioativo (transporte, recebimento, armazenagem, trabalho com raio-x)","{1: 'Sim', 2: 'Não'}"
M011051,M011051,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Manuseio de resíduos urbanos (lixo)","{1: 'Sim', 2: 'Não'}"
M011061,M011061,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Exposição a material biológico (sangue, agulhas, secreções)","{1: 'Sim', 2: 'Não'}"
M011071,M011071,"No(s) seu(s) trabalho(s), o(a) Sr(a) está exposto(a) a algum destes fatores que podem afetar a sua saúde Exposição à poeira mineral (pó de mármore, de areia, de brita, de vidro (sílica), de amianto (asbesto), de ferro ou aço)","{1: 'Sim', 2: 'Não'}"
M01401,M01401,Com quantos familiares ou parentes ___ pode contar em momentos bons ou ruins,"{0: 'Nenhum', 1: 'Um', 2: 'Dois', 3: 'Três ou mais'}"
M01501,M01501,Com quantos amigos próximos ___ pode contar em momentos bons ou ruins (Sem considerar os familiares ou parentes,"{0: 'Nenhum', 1: 'Um', 2: 'Dois', 3: 'Três ou mais'}"
M01601,M01601,"Nos últimos doze meses, com que frequência o(a) Sr(a) se reuniu com outras pessoas para prática de atividades esportivas, exercícios físicos, recreativos ou artísticos","{1: 'Mais de uma vez por semana', 2: 'Uma vez por semana', 3: 'De 2 a 3 vezes por mês', 4: 'Algumas vezes no ano', 5: 'Uma vez no ano', 6: 'Nenhuma vez'}"
M01701,M01701,"Nos últimos doze meses, com que frequência o(a) Sr(a) participou de reuniões de grupos como associações de moradores ou funcionários, movimentos sociais/comunitários, centros acadêmicos ou similares","{1: 'Mais de uma vez por semana', 2: 'Uma vez por semana', 3: 'De 2 a 3 vezes por mês', 4: 'Algumas vezes no ano', 5: 'Uma vez no ano', 6: 'Nenhuma vez'}"
M01801,M01801,"Nos últimos 12 meses, com que frequência o(a) Sr(a) fez trabalho voluntário não remunerado","{1: 'Mais de uma vez por semana', 2: 'Uma vez por semana', 3: 'De 2 a 3 vezes por mês', 4: 'Algumas vezes no ano', 5: 'Uma vez no ano', 6: 'Nenhuma vez'}"
M01901,M01901,"Nos últimos doze meses, com que frequência o(a) Sr(a) compareceu a atividades coletivas da sua religião ou de outra religião sem contar com situações como casamento, batizado, ou enterro)","{1: 'Mais de uma vez por semana', 2: 'Uma vez por semana', 3: 'De 2 a 3 vezes por mês', 4: 'Algumas vezes no ano', 5: 'Uma vez no ano', 6: 'Nenhuma vez'}"
N001,N001,"Em geral, como o(a) Sr(a) avalia a sua saúde","{1: 'Muito boa', 2: 'Boa', 3: 'Regular', 4: 'Ruim', 5: 'Muito ruim', 9: 'Ignorado'}"
N00101,N00101,"Considerando saúde como um estado de bem-estar físico e mental, e não somente a ausência de doenças, como você avalia o seu estado de saúde?","{1: 'Muito boa', 2: 'Boa', 3: 'Regular', 4: 'Ruim', 5: 'Muito ruim', 9: 'Ignorado'}"
N010,N010,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas no sono, como dificuldade para adormecer, acordar frequentemente à noite ou dormir mais do que de costume?","{1: 'Nenhum dia', 2: 'Menos da metade dos dias', 3: 'Mais da metade dos dias', 4: 'Quase todos dias', 9: 'Ignorado'}"
N011,N011,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas por não se sentir descansado(a) e disposto(a) durante o dia, sentindo-se cansado(a), sem ter energia?","{1: 'Nenhum dia', 2: 'Menos da metade dos dias', 3: 'Mais da metade dos dias', 4: 'Quase todos dias', 9: 'Ignorado'}"
N012,N012,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve pouco interesse ou não senitiu prazer em fazer as coisas?","{1: 'Nenhum dia', 2: 'Menos da metade dos dias', 3: 'Mais da metade dos dias', 4: 'Quase todos dias', 9: 'Ignorado'}"
N013,N013,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas para se concentrar nas suas atividades habituais?","{1: 'Nenhum dia', 2: 'Menos da metade dos dias', 3: 'Mais da metade dos dias', 4: 'Quase todos dias', 9: 'Ignorado'}"
N014,N014,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve problemas na alimentação, como ter falta de apetite ou comer muito mais do que de costume?","{1: 'Nenhum dia', 2: 'Menos da metade dos dias', 3: 'Mais da metade dos dias', 4: 'Quase todos dias', 9: 'Ignorado'}"
N015,N015,"Nas duas últimas semanas, com que frequência o(a) Sr(a) teve lentidão para se movimentar ou falar, ou ao contrário ficou muito agitado(a) ou inquieto(a)?","{1: 'Nenhum dia', 2: 'Menos da metade dos dias', 3: 'Mais da metade dos dias', 4: 'Quase todos dias', 9: 'Ignorado'}"
N016,N016,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu deprimido(a), “pra baixo” ou sem perspectiva?","{1: 'Nenhum dia', 2: 'Menos da metade dos dias', 3: 'Mais da metade dos dias', 4: 'Quase todos dias', 9: 'Ignorado'}"
N017,N017,"Nas duas últimas semanas, com que frequência o(a) Sr(a) se sentiu mal consigo mesmo, se achando um fracasso ou achando que decepcionou sua família?","{1: 'Nenhum dia', 2: 'Menos da metade dos dias', 3: 'Mais da metade dos dias', 4: 'Quase todos dias', 9: 'Ignorado'}"
N018,N018,"Nas duas últimas semanas, com que frequência o(a) Sr(a) pensou em se ferir de alguma maneira ou achou que seria melhor estar morto?","{1: 'Nenhum dia', 2: 'Menos da metade dos dias', 3: 'Mais da metade dos dias', 4: 'Quase todos dias', 9: 'Ignorado'}"
peso,P00104,"Peso - Final (em kg)
(3 inteiros e 1 casa decimal)",{}
altura,P00404,"Altura - Final (em cm)
(3 inteiros)",{999: 'Ignorado'}
P005,P005,A Sra está grávida no momento?,"{1: 'Sim', 2: 'Não', 3: 'Não sabe'}"
P00601,P00601,"Ontem o(a) Sr(a) comeu arroz, macarrão, polenta, cuscuz ou milho verde.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00602,P00602,"Batata comum, mandioca/aipim/macaxeira, cará ou inhame.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00603,P00603,"Feijão, ervilha, lentilha ou grão de bico.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00604,P00604,"Carne de boi, porco, frango, peixe","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00605,P00605,"Ovo (frito, cozido ou mexido ).","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00607,P00607,"Alface, couve, brócolis, agrião ou espinfre.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00608,P00608,"Abóbora, cenoura, batata doce ou quiabo/caruru.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00609,P00609,"Tomate, pepino, abobrinha, berinjela, chuchu ou beterraba.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00610,P00610,"Mamão, manga, melão amarelo ou pequi.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00611,P00611,"Laranja, banana, maçã, abacaxi.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00612,P00612,Leite,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00613,P00613,"Amendoim, castanha de caju ou castanha do Brasil/Pará","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00614,P00614,ONTEM o(a) Sr(a) tomou ou comeu:Refrigerante,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00615,P00615,Suco de fruta em caixinha ou lata ou refresco em pó.,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00616,P00616,Bebida achocolatada ou iogurte com sabor.,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00617,P00617,Salgadinho de pacote ou biscoito/bolacha salgado.,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00618,P00618,Biscoito/bolacha doce ou recheado ou bolo de pacote.,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00619,P00619,"Sorvete, chocolate, gelatina, flan ou outra sobremesa industrializada.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00620,P00620,"Salsicha, linguiça, mortadela ou presunto.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00621,P00621,"Pão de forma, de cachorro-quente ou de hambúrguer.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00622,P00622,"Margarina, maionese, ketchup ou outros molhos industrializados.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P00623,P00623,"Macarrão instantâneo, sopa de pacote, lasanha congelada ou outro prato congelado comprado pronto industrilizado.","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P006,P006,Em quantos dias da semana o(a) Sr(a) costuma comer feijão?,"{0: 'Nunca ou menos de uma vez por semana', 9: 'Ignorado'}"
P00901,P00901,"Em quantos dias da semana, o(a) Sr(a) costuma comer pelo menos um tipo de verdura ou legume (sem contar batata, mandioca, cará ou inhame) como alface, tomate, couve, cenoura, chuchu, berinjela, abobrinha?","{0: 'Nunca ou menos de uma vez por semana', 9: 'Ignorado'}"
P01001,P01001,"Em geral, o(a) Sr(a) costuma comer esse tipo de verdura ou legume:","{1: 'Uma vez por dia (no almoço ou no jantar).', 2: 'Duas vezes por dia (no almoço e no jantar).', 3: 'Três vezes ou mais por dia.', 9: 'Ignorado'}"
P01101,P01101,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)?","{0: 'Nunca ou menos de uma vez por semana.', 9: 'Ignorado'}"
P013,P013,Em quantos dias da semana o(a) Sr(a) costuma comer frango/galinha?,"{0: 'Nunca ou menos de uma vez por semana.', 9: 'Ignorado'}"
P015,P015,Em quantos dias da semana o(a) Sr(a) costuma comer peixe?,"{0: 'Nunca ou menos de uma vez por semana.', 9: 'Ignorado'}"
P02001,P02001,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de caixinha/lata ou refresco em pó ?,"{0: 'Nunca ou menos de uma vez por semana.', 9: 'Ignorado'}"
P02101,P02101,Que tipo de suco de caixinha/lata ou refresco em pó o(a) Sr(a) costuma tomar? (Ler as opções de resposta),"{1: 'Diet/Light/Zero', 2: 'Normal', 3: 'Ambos.', 9: 'Ignorado'}"
P01601,P01601,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de fruta natural (incluída a polpa de fruta congelada)?,"{0: 'Nunca ou menos de uma vez por semana.', 9: 'Ignorado'}"
P018,P018,Em quantos dias da semana o(a) Sr(a) costuma comer frutas?,"{0: 'Nunca ou menos de uma vez por semana.', 9: 'Ignorado'}"
P019,P019,"Em geral, quantas vezes por dia o(a) Sr(a) come frutas?","{1: 'Uma vez por dia', 2: 'Duas vezes por dia', 3: 'Três vezes ou mais por dia.', 9: 'Ignorado'}"
P02002,P02002,Em quantos dias da semana o(a) Sr(a) costuma tomar refrigerante?,"{0: 'Nunca ou menos de uma vez por semana.', 9: 'Ignorado'}"
P02102,P02102,Que tipo de refrigerante o(a) Sr(a) costuma tomar?,"{1: 'Diet/Light/Zero', 2: 'Normal', 3: 'Ambos', 9: 'Ignorado'}"
P023,P023,"Em quantos dias da semana o(a) Sr(a) costuma tomar leite? (de origem animal: vaca, cabra, búfala etc.)","{0: 'Nunca ou menos de uma vez por semana.', 9: 'Ignorado'}"
P02401,P02401,Que tipo de leite o(a) Sr(a) costuma tomar?,"{1: 'Desnatado ou semidesnatado.', 2: 'Integral', 3: 'Os dois tipos', 9: 'Ignorado'}"
P02501,P02501,"Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?","{0: 'Nunca ou menos de uma vez por semana', 9: 'Ignorado'}"
P02602,P02602,"Em quantos dias da semana o(a) Sr(a) costuma substituir a refeição do almoço por lanches rápidos como sanduíches, salgados, pizza, cachorro quente, etc?","{0: 'Nunca ou menos de uma vez por semana', 9: 'Ignorado'}"
P02601,P02601,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:","{1: 'Muito alto', 2: 'Alto', 3: 'Adequado', 4: 'Baixo', 5: 'Muito baixo', 9: 'Ignorado'}"
P027,P027,Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoólica?,"{1: 'Não bebo nunca', 2: 'Menos de uma vez por mês', 3: 'Uma vez ou mais por mês', 9: 'Ignorado'}"
P02801,P02801,Quantos dias por semana o(a) Sr(a) costuma consumir alguma bebida alcoólica?,"{0: 'Nunca ou menos de uma vez por semana', 9: 'Ignorado'}"
P029,P029,"Em geral, no dia que o(a) Sr(a) bebe, quantas doses de bebida alcoólica o(a) Sr(a) consome?",{99: 'Ignorado'}
P03201,P03201,"Nos últimos trinta dias, o(a) Sr(a) chegou a consumir cinco ou mais doses de bebida alcoólica em uma única ocasião?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P03202,P03202,"Quando isso ocorreu, qual foi o número máximo de doses consumido em uma única ocasião?",{99: 'Ignorado'}
P03001,P03001,"Nos últimos doze meses, quando consumiu bebida alcoólica, o(a) Sr(a) dirigiu logo depois de beber?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P03301,P03301,"Nos últimos doze meses, quantas vezes o(a) Sr(a) deixou de trabalhar, realizar afazeres domésticos, ir à escola, curso ou faculdade, fazer compras, etc. porque bebeu demais?","{1: 'Nenhuma vez.', 2: 'Uma vez por mês ou menos', 3: 'Duas a quatro vezes por mês', 4: 'Duas a três vezes por semana', 5: 'Quatro ou mais vezes por semana', 9: 'Ignorado'}"
P03302,P03302,"Nos últimos doze meses, quantas vezes, depois/após ter bebido, o(a) Sr(a) não conseguiu lembrar o que aconteceu?","{1: 'Nenhuma vez.', 2: 'Uma vez por mês ou menos', 3: 'Duas a quatro vezes por mês', 4: 'Duas a três vezes por semana', 5: 'Quatro ou mais vezes por semana', 9: 'Ignorado'}"
P03303,P03303,"Nos últimos doze meses, algum parente, amigo ou profissional de saúde disse que você estava bebendo demais ou para você parar de beber?","{1: 'Não', 2: 'Sim, em uma ocasião', 3: 'Sim, em mais de uma ocasião', 9: 'Ignorado'}"
P034,P034,"Nos últimos três meses, o(a) Sr(a) praticou algum tipo de exercício físico ou esporte?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P035,P035,Quantos dias por semana o(a) Sr(a) costuma  (costumava)praticar exercício físico ou esporte?,"{0: 'Nunca ou menos de uma vez por semana', 9: 'Ignorado'}"
P03701,P03701,"Em geral, no dia que o(a) Sr(a) pratica exercício ou esporte, quanto tempo em horas dura essa atividade? Horas",{9: 'Ignorado'}
P03702,P03702,"Em geral, no dia que o(a) Sr(a) pratica (praticava) exercício ou esporte, quanto tempo em minutos dura essa atividade?Minutos",{99: 'Ignorado'}
P036,P036,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),"{1: 'Caminhada (não vale para o trabalho)', 2: 'Caminhada em esteira', 3: 'Corrida/cooper', 4: 'Corrida em esteira', 5: 'Musculação', 6: 'Ginástica aeróbica/spinning/step/jump', 7: 'Hidroginástica', 8: 'Ginástica / localizada/pilates/alongamento/ioga', 9: 'Natação', 10: 'Artes marciais e luta', 11: 'Bicicleta/bicicleta ergométrica', 12: 'Futebol', 13: 'Basquetebol', 14: 'Voleibol', 15: 'Tênis', 16: 'Dança (com o objetivo de praticar atividade física)', 17: 'Outro', 99: 'Ignorado'}"
P038,P038,"No seu trabalho, o(a) Sr(a) anda bastante a pé?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P039,P039,"No seu trabalho, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P03904,P03904,"Em uma semana normal, em quantos dias, o(a) Sr(a) anda bastante a pé ou faz essas atividades pesadas ou que requerem esforço físico no seu trabalho?",{9: 'Ignorado'}
P03905,P03905,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando essas atividades pesadas ou que requerem esforço físico no seu trabalho?Horas",{9: 'Ignorado'}
P03906,P03906,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando atividades essas atividades pesadas ou que requerem esforço físico no seu trabalho? Minutos",{99: 'Ignorado'}
P040,P040,"Para ir ou voltar do trabalho, o(a) Sr(a) faz algum trajeto a pé ou de bicicleta?","{1: 'Sim, todo o trajeto', 2: 'Sim, parte do trajeto', 3: 'Não', 9: 'Ignorado'}"
P04001,P04001,Quantos dias por semana o(a) Sr(a) faz algum trajeto a pé ou bicicleta?,"{0: 'Nunca ou menos de uma vez por semana', 9: 'Ignorado'}"
P04101,P04101,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Horas",{99: 'Ignorado'}
P04102,P04102,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Minutos",{99: 'Ignorado'}
P042,P042,"Nas suas atividades habituais (tais como ir a algum curso, escola ou clube ou levar alguém a algum curso, escola ou clube), quantos dias por semana o(a) Sr(a) faz alguma atividade que envolva deslocamento a pé ou bicicleta? (Exceto o trabalho)","{0: 'Nunca ou menos de uma vez por semana', 9: 'Ignorado'}"
P04301,P04301,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Horas",{99: 'Ignorado'}
P04302,P04302,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Minutos",{99: 'Ignorado'}
P044,P044,"Nas suas atividades domésticas, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso? (não considerar atividade doméstica remunerada)","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P04401,P04401,"Em uma semana normal, nas suas atividades domésticas, em quantos dias o(a) Sr(a) faz faxina pesada ou realiza atividades que requerem esforço físico intenso? (não considerar atividade doméstica remunerada)",{9: 'Ignorado'}
P04405,P04405,"Quanto tempo gasta, por dia, realizando essas atividades domésticas pesadas ou que requerem esforço físico intenso? (não considerar atividade doméstica remunerada) Horas",{99: 'Ignorado'}
P04406,P04406,"Quanto tempo gasta, por dia, realizando essas atividades domésticas pesadas ou que requerem esforço físico intenso?",{99: 'Ignorado'}
P04501,P04501,"Em média, quantas horas por dia o(a) Sr(a) costuma ficar assistindo televisão?","{1: 'Menos de uma hora', 2: 'De uma hora a menos de duas horas', 3: 'De duas horas a menos de três horas', 4: 'De três horas a menos de seis horas', 5: 'Seis horas ou mais', 6: 'Não assiste televisão', 9: 'Ignorado'}"
P04502,P04502,"Em um dia, quantas horas do seu tempo livre (excluindo o trabalho), o(a) Sr(a) costuma usar computador, tablet ou celular para lazer, tais como: utilizar redes sociais, para ver notícias, vídeos, jogar etc?","{1: 'Menos de uma hora', 2: 'De uma hora a menos de duas horas', 3: 'De duas horas a menos de três horas', 4: 'De três horas a menos de seis horas', 5: 'Seis horas ou mais', 6: 'Não costuma usar computador, tablet ou celular no tempo livre', 9: 'Ignorado'}"
P046,P046,"Perto do seu domicílio, existe algum lugar público (praça, parque, rua fechada, praia) para fazer caminhada, realizar exercício ou praticar esporte?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P04701,P04701,O(A) Sr(a) conhece algum programa público de estímulo à prática de atividade física no seu município?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P04801,P04801,O(A) Sr(a) participa desse programa público de estímulo à prática de atividade física no seu município?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P04902,P04902,Qual o principal motivo de não participar?,"{1: 'Não é perto do meu domicílio', 2: 'O horário de funcionamento do programa é incompatível com minhas atividades de trabalho ou domésticas', 3: 'Não tem interesse nas atividades oferecidas', 4: 'O espaço não é seguro/iluminado', 5: 'Problemas de saúde ou incapacidade física', 6: 'Outro', 9: 'Ignorado'}"
P050,P050,"Atualmente, o(a) Sr(a) fuma algum produto do tabaco?","{1: 'Sim, diariamente', 2: 'Sim, menos que diariamente', 3: 'Não fumo atualmente', 9: 'Ignorado'}"
P051,P051,"E no passado, o(a) Sr(a) fumou algum produto do tabaco diariamente?","{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
P052,P052,"E no passado, o(a) Sr(a) fumou algum produto do tabaco?","{1: 'Sim, diariamente', 2: 'Sim, menos que diariamente', 3: 'Não, nunca fumei', 9: 'Ignorado'}"
P053,P053,Que idade o(a) Sr(a) tinha quando começou a fumar produto de tabaco diariamente?,{99: 'Ignorado'}
P05401,P05401,"Em média, quanto fuma por dia ou por semana Cigarros industrializados","{1: 'Um ou mais por dia', 2: 'Um ou mais por semana', 3: 'Menos que uma vez por semana', 4: 'Menos do que um por mês', 5: 'Não fuma este produto', 9: 'Ignorado'}"
P05402,P05402,Quantos por dia,{99: 'Ignorado'}
P05403,P05403,Quantos por semana,{99: 'Ignorado'}
P05404,P05404,"Em média, quanto fuma por dia ou por semana Cigarros de palha ou enrolados a mão?","{1: 'Um ou mais por dia', 2: 'Um ou mais por semana', 3: 'Menos que uma vez por semana', 4: 'Menos do que um por mês', 5: 'Não fuma este produto', 9: 'Ignorado'}"
P05405,P05405,Quantos por dia,{99: 'Ignorado'}
P05406,P05406,Quantos por semana,{99: 'Ignorado'}
P05407,P05407,"Em média, quanto fuma por dia ou por semana Cigarros de cravo ou de Bali?","{1: 'Um ou mais por dia', 2: 'Um ou mais por semana', 3: 'Menos que uma vez por semana', 4: 'Menos do que um por mês', 5: 'Não fuma este produto', 9: 'Ignorado'}"
P05408,P05408,Quantos por dia,{99: 'Ignorado'}
P05409,P05409,Quantos por semana,{99: 'Ignorado'}
P05410,P05410,"Em média, quanto fuma por dia ou por semana Cachimbos (considere cachimbos cheios)?","{1: 'Um ou mais por dia', 2: 'Um ou mais por semana', 3: 'Menos que uma vez por semana', 4: 'Menos do que um por mês', 5: 'Não fuma este produto', 9: 'Ignorado'}"
P05411,P05411,Quantos por dia,{99: 'Ignorado'}
P05412,P05412,Quantos por semana,{99: 'Ignorado'}
P05413,P05413,"Em média, quanto fuma por dia ou por semana Charutos ou cigarrilhas?","{1: 'Um ou mais por dia', 2: 'Um ou mais por semana', 3: 'Menos que uma vez por semana', 4: 'Menos do que um por mês', 5: 'Não fuma este produto', 9: 'Ignorado'}"
P05414,P05414,Quantos por dia,{99: 'Ignorado'}
P05415,P05415,Quantos por semana,{99: 'Ignorado'}
P05416,P05416,"Em média, quanto fuma por dia ou por semana Narguilé (sessões)?","{1: 'Um ou mais por dia', 2: 'Um ou mais por semana', 3: 'Menos que uma vez por semana', 4: 'Menos do que um por mês', 5: 'Não fuma este produto', 9: 'Ignorado'}"
P05417,P05417,Quantos por dia,{99: 'Ignorado'}
P05418,P05418,Quantos por semana,{99: 'Ignorado'}
P05419,P05419,"Em média, quanto fuma por dia ou por semana Outro","{1: 'Um ou mais por dia', 2: 'Um ou mais por semana', 3: 'Menos que uma vez por semana', 4: 'Menos do que um por mês', 5: 'Não fuma este produto', 9: 'Ignorado'}"
P05421,P05421,Quantos por dia,{99: 'Ignorado'}
P05422,P05422,Quantos por semana,{99: 'Ignorado'}
P055,P055,Quanto tempo depois de acordar o(a) Sr(a) normalmente fuma pela primeira vez?,"{1: 'Até cinco minutos', 2: 'De seis a 30 minutos', 3: 'De 31 a 60 minutos', 4: 'Mais de 60 minutos', 9: 'Ignorado'}"
P056,P056,"NA ÚLTIMA VEZ que o(a) Sr(a) comprou cigarros para uso próprio, quantos cigarros comprou? (Registre a quantidade e, quando necessário, registre os detalhes da unidade).","{1: 'Cigarros', 2: 'Maços', 3: 'Pacotes', 4: 'Nunca comprei cigarros para uso próprio', 9: 'Ignorado'}"
P05601,P05601,Quantidade de cigarros,{99: 'Ignorado'}
P05602,P05602,Quantidade de maços,{99: 'Ignorado'}
P05603,P05603,Quantos cigarros havia em cada maço?,{99: 'Ignorado'}
P05604,P05604,Quantidade de pacotes,{99: 'Ignorado'}
P05605,P05605,Quantos maços havia em cada pacote?,{99: 'Ignorado'}
P057,P057,"No total, quanto o(a) Sr(a) pagou por essa compra?",{99999999: 'Ignorado'}
P058,P058,"Em média, quantos cigarros industrializados o(a) Sr(a) fumava por dia ou por semana?","{1: 'Um ou mais por dia', 2: 'Um ou mais por semana', 3: 'Menos que uma vez por semana', 4: 'Menos do que um por mês', 5: 'Não fumava este produto', 6: 'Não sabe'}"
P05801,P05801,Quantos por dia,{99: 'Ignorado'}
P05802,P05802,Quantos por semana,{99: 'Ignorado'}
P05901,P05901,Número de anos que parou de fumar,{99: 'Ignorado'}
P05902,P05902,Número de meses que parou de fumar,{9: 'Ignorado'}
P05903,P05903,Número de semanas que parou de fumar,{9: 'Ignorado'}
P05904,P05904,Número de dias que parou de fumar,{9: 'Ignorado'}
Q00101,Q00101,Quando foi a última vez que o (a) Sr(a) teve sua pressão arterial medida?,"{1: 'Menos de 6 meses', 2: 'De 6 meses a menos de 1 ano', 3: 'De 1 ano a menos de  2 anos', 4: 'De 2 anos a menos de 3 anos', 5: '3 anos ou mais', 6: 'Nunca', 9: 'Ignorado'}"
Q00201,Q00201,Algum médico já lhe deu o diagnóstico de hipertensão arterial (pressão alta)?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q00202,Q00202,Essa hipertensão arterial (pressão alta) ocorreu apenas durante algum período de gravidez?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q003,Q003,Que idade o(a) Sr(a) tinha no primeiro diagnóstico de hipertensão arterial (pressão alta)?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
Q02901,Q02901,"Quando foi a última vez que o(a) Sr(a) fez exame de sangue para medir a glicemia, isto é, o açúcar no sangue?","{1: 'Menos de 6 meses', 2: 'De 6 meses a menos de 1 ano', 3: 'De 1 ano a menos de  2 anos', 4: 'De 2 anos a menos de 3 anos', 5: '3 anos ou mais', 6: 'Nunca fez', 9: 'Ignorado'}"
Q03001,Q03001,Algum médico já lhe deu o diagnóstico de diabetes?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q03002,Q03002,Esse diabetes ocorreu apenas durante algum período de gravidez?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q031,Q031,Que idade o(a) Sr(a) tinha no primeiro diagnóstico do diabetes?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
Q05901,Q05901,Quando foi a última vez que o(a) Sr(a) fez exame de sangue para medir o colesterol e triglicerídeos?,"{1: 'Menos de 6 meses', 2: 'De 6 meses a menos de 1 ano', 3: 'De 1 ano a menos de  2 anos', 4: 'De 2 anos a menos de 3 anos', 5: '3 anos ou mais', 6: 'Nunca fez', 9: 'Ignorado'}"
Q060,Q060,Algum médico já lhe deu o diagnóstico de colesterol alto?,"{1: 'Sim', 2: 'Não', 9: 'Ignorado'}"
Q061,Q061,Que idade o(a) Sr(a) tinha no primeiro diagnóstico de colesterol alto?,"{0: 'Menos de 1 ano', 99: 'Ignorado'}"
